region_name,usage_year,usage_month,total_usage,period
Eastern Region,2019,01,10056.2,2019-01
Eastern Region,2019,02,8853.8,2019-02
Eastern Region,2019,03,9389.1,2019-03
Eastern Region,2019,04,9263.7,2019-04
Eastern Region,2019,05,10234.6,2019-05
Eastern Region,2019,06,9392.5,2019-06
Eastern Region,2019,07,11324.1,2019-07
Eastern Region,2019,08,9652.4,2019-08
Eastern Region,2019,09,10654.6,2019-09
Eastern Region,2019,10,10145.0,2019-10
Eastern Region,2019,11,8964.7,2019-11
Eastern Region,2019,12,9984.4,2019-12
Eastern Region,2020,01,8058.7,2020-01
Eastern Region,2020,02,7395.0,2020-02
Eastern Region,2020,03,7494.7,2020-03
Eastern Region,2020,04,7115.6,2020-04
Eastern Region,2020,05,4920.8,2020-05
Eastern Region,2020,06,1410.2,2020-06
Eastern Region,2020,07,1785.5,2020-07
Eastern Region,2020,08,1882.2,2020-08
Eastern Region,2020,09,1380.1,2020-09
Eastern Region,2020,10,1753.2,2020-10
Eastern Region,2020,11,1788.8,2020-11
Eastern Region,2020,12,1814.6,2020-12
North Eastern Region,2019,01,1319.5,2019-01
North Eastern Region,2019,02,1136.4,2019-02
North Eastern Region,2019,03,1294.3,2019-03
North Eastern Region,2019,04,1245.2,2019-04
North Eastern Region,2019,05,1324.9,2019-05
North Eastern Region,2019,06,1232.6,2019-06
North Eastern Region,2019,07,1508.4,2019-07
North Eastern Region,2019,08,1330.0,2019-08
North Eastern Region,2019,09,1329.0,2019-09
North Eastern Region,2019,10,1322.2,2019-10
North Eastern Region,2019,11,1154.3,2019-11
North Eastern Region,2019,12,1322.9,2019-12
North Eastern Region,2020,01,1062.3,2020-01
North Eastern Region,2020,02,937.6,2020-02
North Eastern Region,2020,03,987.7,2020-03
North Eastern Region,2020,04,991.3,2020-04
North Eastern Region,2020,05,655.9,2020-05
North Eastern Region,2020,06,200.7,2020-06
North Eastern Region,2020,07,240.8,2020-07
North Eastern Region,2020,08,255.2,2020-08
North Eastern Region,2020,09,198.3,2020-09
North Eastern Region,2020,10,249.2,2020-10
North Eastern Region,2020,11,217.7,2020-11
North Eastern Region,2020,12,194.0,2020-12
Northern Region,2019,01,31506.6,2019-01
Northern Region,2019,02,25768.9,2019-02
Northern Region,2019,03,29130.7,2019-03
Northern Region,2019,04,30037.9,2019-04
Northern Region,2019,05,30927.8,2019-05
Northern Region,2019,06,28018.1,2019-06
Northern Region,2019,07,33562.6,2019-07
Northern Region,2019,08,32262.6,2019-08
Northern Region,2019,09,29620.3,2019-09
Northern Region,2019,10,31189.3,2019-10
Northern Region,2019,11,25190.5,2019-11
Northern Region,2019,12,31479.5,2019-12
Northern Region,2020,01,25622.9,2020-01
Northern Region,2020,02,23080.9,2020-02
Northern Region,2020,03,23209.1,2020-03
Northern Region,2020,04,22408.1,2020-04
Northern Region,2020,05,15427.5,2020-05
Northern Region,2020,06,4321.6,2020-06
Northern Region,2020,07,5745.1,2020-07
Northern Region,2020,08,6179.7,2020-08
Northern Region,2020,09,4121.1,2020-09
Northern Region,2020,10,6674.1,2020-10
Northern Region,2020,11,5871.4,2020-11
Northern Region,2020,12,4898.3,2020-12
Southern Region,2019,01,27552.1,2019-01
Southern Region,2019,02,24069.8,2019-02
Southern Region,2019,03,27750.1,2019-03
Southern Region,2019,04,29999.3,2019-04
Southern Region,2019,05,27669.0,2019-05
Southern Region,2019,06,26743.2,2019-06
Southern Region,2019,07,34334.9,2019-07
Southern Region,2019,08,28792.8,2019-08
Southern Region,2019,09,28106.9,2019-09
Southern Region,2019,10,27586.4,2019-10
Southern Region,2019,11,27622.2,2019-11
Southern Region,2019,12,28568.5,2019-12
Southern Region,2020,01,24448.3,2020-01
Southern Region,2020,02,20601.1,2020-02
Southern Region,2020,03,21583.1,2020-03
Southern Region,2020,04,22426.4,2020-04
Southern Region,2020,05,15093.6,2020-05
Southern Region,2020,06,4080.6,2020-06
Southern Region,2020,07,4203.1,2020-07
Southern Region,2020,08,4707.0,2020-08
Southern Region,2020,09,5570.0,2020-09
Southern Region,2020,10,4789.3,2020-10
Southern Region,2020,11,4966.9,2020-11
Southern Region,2020,12,5414.0,2020-12
Western Region,2019,01,30871.2,2019-01
Western Region,2019,02,27447.5,2019-02
Western Region,2019,03,32269.4,2019-03
Western Region,2019,04,32604.7,2019-04
Western Region,2019,05,31571.7,2019-05
Western Region,2019,06,31389.2,2019-06
Western Region,2019,07,37870.3,2019-07
Western Region,2019,08,33236.1,2019-08
Western Region,2019,09,32635.9,2019-09
Western Region,2019,10,32199.7,2019-10
Western Region,2019,11,30357.2,2019-11
Western Region,2019,12,32827.6,2019-12
Western Region,2020,01,26127.0,2020-01
Western Region,2020,02,24370.8,2020-02
Western Region,2020,03,23737.5,2020-03
Western Region,2020,04,25300.9,2020-04
Western Region,2020,05,17461.5,2020-05
Western Region,2020,06,5648.1,2020-06
Western Region,2020,07,5156.2,2020-07
Western Region,2020,08,5110.3,2020-08
Western Region,2020,09,5908.900000000001,2020-09
Western Region,2020,10,5070.8,2020-10
Western Region,2020,11,5237.2,2020-11
Western Region,2020,12,5960.1,2020-12
