state_name,pre_lockdown_avg,lockdown_avg,post_lockdown_avg,pct_recovered
Andhra Pradesh,181.51,173.8,178.92,98.6
Arunachal Pradesh,2.16,2.08,2.2,101.9
Assam,25.06,23.44,26.94,107.5
Bihar,82.73,78.06,89.36,108.0
Chandigarh,4.33,3.68,4.77,110.2
Chhattisgarh,88.64,79.19,86.08,97.1
DNH,17.87,15.31,18.39,102.9
Delhi,92.7,73.45,97.9,105.6
Goa,11.04,10.99,10.65,96.5
Gujarat,336.41,321.1,333.16,99.0
HP,27.18,25.97,28.45,104.7
Haryana,150.36,123.99,159.69,106.2
J&K,44.4,43.38,43.79,98.6
Jharkhand,23.77,23.61,23.02,96.8
Karnataka,208.69,201.77,208.83,100.1
Kerala,74.09,72.41,74.78,100.9
MP,202.35,219.59,199.17,98.4
Maharashtra,441.45,430.42,433.99,98.3
Manipur,2.54,2.48,2.48,97.6
Meghalaya,5.72,5.77,5.57,97.4
Mizoram,1.7,1.7,1.7,100.0
Nagaland,2.16,2.13,2.18,100.9
Odisha,82.38,76.71,85.06,103.3
Pondy,8.03,7.24,8.1,100.9
Punjab,154.86,115.87,181.34,117.1
Rajasthan,220.49,222.87,218.1,98.9
Sikkim,1.08,1.38,1.24,114.8
Tamil Nadu,320.8,294.75,321.62,100.3
Telangana,186.21,177.85,196.09,105.3
Tripura,4.15,3.7,4.1,98.8
UP,326.77,288.92,343.4,105.1
Uttarakhand,37.67,34.41,38.88,103.2
West Bengal,145.99,125.84,148.14,101.5
